year,city,growth,workers,company,state_s,revenue,industry,yrsonlist
2018,Farmington,58.5545,47,Strategic Sales,CT,2891948,Advertising & Marketing,1
2018,San Francisco,122.501,64,Culinary Eye Catering & Events,CA,2887469,Food & Beverage,1
2018,Durham,288.9488,10,OnPar Technologies,NC,2886000,IT Services,1
2018,Portland,72.9676,14,International Institute for Analytics,OR,2885313,Business Products & Services,1
2018,Dumfries,183.934,36,TIME Systems,VA,2884471,Government Services,2
2018,Bensalem,488.9962,12,KitchenSearch.com,PA,2883808,Construction,1
2018,Kent,95.6438,9,North Pacific Industries,WA,2879225,Construction,1
2018,San Diego,330.2571,18,Beer Home Team,CA,2877258,Real Estate,2
2018,Mesa,209.9557,6,Zen Rent Property Management,AZ,2873181,Real Estate,1
2018,Philadelphia,155.8018,44,Jacobson Strategic Communications,PA,2867530,Advertising & Marketing,2
2018,Mayfield Heights,227.6678,39,Five Lakes Professional Services,OH,2866785,Business Products & Services,3
2018,Los Angeles,462.1068,25,Vcheck Global,CA,2866284,Business Products & Services,1
2018,Columbia,2679.4836,7,Inspiranza Designs,IL,2865453,Retail,1
2018,Boise,2489.276,15,Ventive,ID,2864775,Software,1
2018,Sterling,177.2569,450,Advantage One Partner,VA,2860723,Financial Services,1
2018,Carlsbad,630.4748,10,Vessel FWP,CA,2859122,Retail,1
2018,Las Vegas,2311.8416,28,Southwest Geotechnical,NV,2856947,Engineering,1
2018,Salt Lake City,501.0459,14,SEO Werkz,UT,2853345,Advertising & Marketing,2
2018,Bethesda,73.0319,30,Capitol Pest,MD,2851830,Environmental Services,2
2018,Ann Arbor,106.8111,23,Nutshell,MI,2849812,Software,1
2018,Miami,209.9015,17,Amicon Management,FL,2843207,Construction,2
2018,Grants Pass,81.6054,12,Rentec Direct,OR,2841849,Software,2
2018,Greenville,253.6863,33,The Haro Group of Keller Williams Real Estate,SC,2840883,Real Estate,1
2018,Nashville,57.7913,53,TargetRecruit,TN,2840380,IT Services,2
2018,Grapevine,77.0331,8,MPS solutions,TX,2838220,Business Products & Services,3
2018,Boulder,2374.4337,18,Amplio Digital,CO,2834835,Advertising & Marketing,1
2018,San Diego,106.7362,21,Web Shop Manager,CA,2833129,Software,1
2018,Lighthouse Point,160.7356,13,Alarm Grid,FL,2831589,Security,2
2018,Norwalk,154.9932,8,Self-Publishing School,OH,2826600,Education,1
2018,Omaha,110.8529,17,DataShield,NE,2824973,Business Products & Services,2
2018,Hollywood,65.8824,15,Greenlight Staffing Group,FL,2820000,Human Resources,3
2018,Towson,157.0133,75,Motifworks,MD,2818744,Software,1
2018,Montgomery,248.1287,25,Wilson Shaw Information Technology,AL,2818234,IT Services,2
2018,Chicago,77.6186,10,Leigh Marcus | @properties,IL,2813676,Real Estate,1
2018,Jacksonville,966.7465,12,Brandish,FL,2810365,Advertising & Marketing,1
2018,Westminster,121.9976,17,Atlantic Blue Water Services,MD,2807670,Consumer Products & Services,1
