 url, rank, city, growth, company, country, revenue, industry, yrs_on_list
https://www.inc.com/profile/yudzhin-tov,48,Kiev,3395.9084,Yudzhin TOV,Ukraine,16976306,Construction,1
https://www.inc.com/profile/csi-lifecycle-services-italia-srl,49,Milan,3338.5431,CSI Lifecycle Services Italia S.R.L.,Italy,6917833,Business Products & Services,1
https://www.inc.com/profile/id-finance,50,Barcelona,3317.6471,ID Finance,Spain,58100000,Financial Services,1
https://www.inc.com/profile/yousician-oy,51,Helsinki,3275,Yousician Oy,Finland,10395000,Software,1
https://www.inc.com/profile/artigiani-in-cucina-srl,52,Firenze,3245.0234,Artigiani In Cucina S.R.L.,Italy,8824406,Travel & Hospitality,1
https://www.inc.com/profile/exentis-desarrollos-sociedad-limitada,53,Murcia,3212.5148,Exentis Desarrollos Sociedad Limitada.,Spain,6765679,Construction,1
https://www.inc.com/profile/ecobloks---srl,54,Modena,3155.7004,Ecobloks - S.R.L.,Italy,16615630,Manufacturing,2
https://www.inc.com/profile/sverek-ab,55,Stockholm,3138.7587,Sverek AB,Sweden,9680747,Human Resources,2
https://www.inc.com/profile/fairview-homes-limited,56,Enfield,3063.7656,Fairview Homes Limited,United Kingdom,43181288,Construction,1
https://www.inc.com/profile/next-geosolutions-europe-spa,57,Napoli,3044.7179,Next Geosolutions Europe S.P.A.,Italy,33457754,Engineering,1
https://www.inc.com/profile/finint-mediatore-creditizio-spa,58,Conegliano,3041.1584,Finint Mediatore Creditizio S.P.A.,Italy,6472671,Financial Services,1
https://www.inc.com/profile/intracto,59,Herentals,3010.6932,Intracto,Belgium,9953005,Software,1
https://www.inc.com/profile/artel,60,Moscow,2999.1319,Artel,Russian Federation,19967924,Construction,1
https://www.inc.com/profile/semetis,61,Bruxelles,2996.2907,Semetis,Belgium,8702125,Advertising & Marketing,1
https://www.inc.com/profile/voronezh-akva,62,Voronezh,2972.2305,Voronezh-Akva,Russian Federation,47796472,Manufacturing,2
https://www.inc.com/profile/progress-servis,63,Rp Tuchkovo,2969.6819,Progress-Servis,Russian Federation,10746680,Construction,2
https://www.inc.com/profile/action-france,64,Paris,2947.5347,Action France,France,644209733,Retail,1
https://www.inc.com/profile/boxie24-storage,65,Berlin,2942.1488,Boxie24 Storage,Germany,7362000,Consumer Products & Services,1
https://www.inc.com/profile/karpe-deal-sl,66,Madrid,2935.4064,Karpe Deal SL.,Spain,9992497,Software,1
https://www.inc.com/profile/tk-smart-lines,67,Moscow,2901.5209,TK Smart Lines,Russian Federation,7424532,Logistics & Transportation,1
https://www.inc.com/profile/partner-travel-doo-putnicka-agencija,68,Dubrovnik,2885.6005,"PARTNER TRAVEL d.o.o., putnicka agencija",Croatia,7060139,Travel & Hospitality,1
https://www.inc.com/profile/framery,69,Tampere,2873.3196,Framery,Finland,17619000,Manufacturing,1
https://www.inc.com/profile/diamond-love-bond-spa,70,Milan,2837.8028,Diamond Love Bond S.P.A.,Italy,29047731,Retail,1
https://www.inc.com/profile/company-with-limited-liability-mirtex,71,Furmanov,2796.0046,Company With Limited Liability Mirtex,Russian Federation,30126586,Consumer Products & Services,1
https://www.inc.com/profile/time-for-bedding-srl,72,Prato,2788.5475,Time For Bedding S.R.L.,Italy,13892325,Consumer Products & Services,1
https://www.inc.com/profile/yit-kazan,73,Kazan,2784.5147,YIT Kazan,Russian Federation,20908751,Construction,1
https://www.inc.com/profile/masthercell,74,Gosselies,2780.2545,Masthercell,Belgium,10039847,Health,1
https://www.inc.com/profile/geodem-ambiente-srl,75,Venezia,2758.9242,Geodem-Ambiente SRL,Italy,8419246,Construction,1
https://www.inc.com/profile/ecophos-industrial-services,76,Lummen,2753.0836,Ecophos Industrial Services,Belgium,21936504,Engineering,1
https://www.inc.com/profile/u-screens-ab,77,Stockholm,2744.1911,U Screens AB,Sweden,8241328,Media,1
https://www.inc.com/profile/leroy-processing-spain-sl,78,Pinto,2644.4725,Leroy Processing Spain SL.,Spain,34036921,Food & Beverage,1
https://www.inc.com/profile/investitsionno-developerskaya-kompaniya,79,Novosibirsk,2631.0251,Investitsionno-Developerskaya Kompaniya,Russian Federation,10402693,Construction,1
https://www.inc.com/profile/lundsbrunn-konferens-kurort-ab,80,Lundsbrunn,2620.5592,Lundsbrunn Konferens & Kurort AB,Sweden,7493073,Travel & Hospitality,1
https://www.inc.com/profile/just-eat-italy-srl,81,Milan,2593.7479,Just-Eat Italy S.R.L.,Italy,19193412,Software,1
https://www.inc.com/profile/darius-motors-srl,82,Bucharest,2591.7369,Darius Motors SRL,Romania,14735887,Retail,1
https://www.inc.com/profile/optal-limited,83,London,2582.9706,Optal Limited,United Kingdom,159419481,Financial Services,1
https://www.inc.com/profile/pa-entertainment-automaten-ag,84,Seiersberg,2570.088,PA Entertainment & Automaten AG,Austria,13658595,Consumer Products & Services,1
https://www.inc.com/profile/liftovaya-kompaniya-promis,85,Saint-Petersburg,2528.6938,Liftovaya Kompaniya Promis,Russian Federation,9466715,Construction,1
https://www.inc.com/profile/corplus-ab,86,Stockholm,2524.0911,Corplus AB,Sweden,5487893,Human Resources,1
https://www.inc.com/profile/elinext,87,Waterford,2520.079,Elinext,Ireland,9989418,IT Services,1
https://www.inc.com/profile/farmae-srl,88,Viareggio,2510.4326,Farmae' S.R.L.,Italy,8878055,Health,1
https://www.inc.com/profile/sunskii-karyer,89,S. Yanishpole,2508.9894,Sunskii Karyer,Russian Federation,14155646,Agriculture & Natural Resources,1
https://www.inc.com/profile/eliet,90,Otegem,2503.5632,Eliet,Belgium,8878541,Manufacturing,1
https://www.inc.com/profile/vatbox,91,Maidenhead,2498.719,VATBox,United Kingdom,6122400,Financial Services,1
https://www.inc.com/profile/everbe,92,Paris La D,2481.4655,everBe,France,5989000,IT Services,1
https://www.inc.com/profile/td-kznm,93,Kotovsk,2472.7374,TD Kznm,Russian Federation,7939339,Manufacturing,1
https://www.inc.com/profile/company-ds-ural,94,Krasnokamsk,2468.4195,Company DS Ural,Russian Federation,17484567,Manufacturing,1
https://www.inc.com/profile/power-international-logistics-ab,95,Skillingaryd,2457.8433,Power International Logistics AB,Sweden,30708930,Logistics & Transportation,1
https://www.inc.com/profile/degustabox-sl,96,Barcelona,2452.6039,Degustabox SL.,Spain,5731387,Food & Beverage,1
https://www.inc.com/profile/webbanker,97,Moscow,2447.2891,Webbanker,Russian Federation,9552156,Financial Services,1
https://www.inc.com/profile/sama-srl,98,Concesio,2412.9149,Sama SRL,Italy,10677275,Retail,1
https://www.inc.com/profile/mallinckrodt-netherlands-holdings-bv,99,'S-Hertogenbosch,2411.8435,Mallinckrodt Netherlands Holdings B.V.,Netherlands,81767490,Business Products & Services,1
https://www.inc.com/profile/nordic-finance-business-partner-ab,100,Stockholm,2403.7238,Nordic Finance Business Partner AB,Sweden,63246917,Financial Services,2
https://www.inc.com/profile/helloprint,101,Rotterdam,2397.3985,Helloprint,Netherlands,25281714,Business Products & Services,1
https://www.inc.com/profile/conserto,102,St Herblain,2385.3767,Conserto,France,13853813,IT Services,1
https://www.inc.com/profile/nugnes-1920-srl,103,Bari,2380.4806,Nugnes 1920 S.R.L.,Italy,16851418,Retail,1
https://www.inc.com/profile/linear-investments-limited,104,London,2367.6197,Linear Investments Limited,United Kingdom,7649325,Financial Services,1
https://www.inc.com/profile/modulpanel-srl,105,Grosseto,2360.1207,Modulpanel S.R.L.,Italy,6670076,Manufacturing,1
https://www.inc.com/profile/consultus,106,Lapusel,2345.2849,Consultus,Romania,6004128,Business Products & Services,2
https://www.inc.com/profile/uab-granmax,107,Klaipedos M.,2338.7046,UAB Granmax,Lithuania,37608385,Agriculture & Natural Resources,1
https://www.inc.com/profile/receipt-bank,108,London,2317.2524,Receipt Bank,United Kingdom,7566000,Software,1
https://www.inc.com/profile/terra---nova-construct,109,Bucharest,2316.6816,Terra - Nova Construct,Romania,11407027,Construction,1
https://www.inc.com/profile/brand-id-srl,110,Rome,2316.1525,Brand ID S.R.L.,Italy,6724249,IT Services,1
https://www.inc.com/profile/desenio-ab,111,Stockholm,2299.3431,Desenio AB,Sweden,10416892,Advertising & Marketing,1
https://www.inc.com/profile/invest-servis,112,"Domodedovo, Mkr Aviatsionnyi",2295.2278,Invest-Servis,Russian Federation,19920942,Retail,1
https://www.inc.com/profile/sabba-srl,113,Napoli,2292.7022,S.Abba S.R.L.,Italy,5950794,Construction,2
https://www.inc.com/profile/locatrans,114,Bourg En Bresse,2292.6704,Locatrans,France,12476532,Travel & Hospitality,1
https://www.inc.com/profile/belgian-advanced-technology-systems,115,Angleur,2284.6889,Belgian Advanced Technology Systems,Belgium,20395028,Computer Hardware,2
https://www.inc.com/profile/imperial-development,116,Cluj-Napoca,2281.3404,Imperial Development,Romania,21650552,Energy,1
https://www.inc.com/profile/regent-gold,117,"Agalatovskoe Selskoe Poselenie, D. Skotnoe",2275.8328,Regent Gold,Russian Federation,36066877,Retail,1
https://www.inc.com/profile/dcmn,118,Berlin,2268.332,DCMN,Germany,41511247,Advertising & Marketing,2
https://www.inc.com/profile/proizvodstvennoe-obyedinenie-vtortsvetchermet,119,Samara,2256.1152,PROIZVODSTVENNOE OByEDINENIE VTORTSVETCHERMET,Russian Federation,6975397,Environmental Services,1
https://www.inc.com/profile/hodmezovasarhelyi-utepito,120,Tiszakecske,2251.587,Hodmezovasarhelyi Utepito,Hungary,53884711,Government Services,1
https://www.inc.com/profile/integrity360,121,Sandyford,2247.3823,Integrity360,Ireland,37483000,IT Services,1
https://www.inc.com/profile/hellenic-trading-ab,122,Hovaas,2246.14,Hellenic Trading AB,Sweden,4928466,Business Products & Services,1
https://www.inc.com/profile/complet-perfect-construct-srl,123,Bucharest,2228.3865,Complet Perfect Construct SRL,Romania,6338683,Construction,1
https://www.inc.com/profile/inloop-sro,124,Prague,2221.3459,Inloop s.r.o.,Czech Republic,4665000,IT Services,1
https://www.inc.com/profile/gousto,125,London,2211.7647,GOUSTO,United Kingdom,14541000,Food & Beverage,1
https://www.inc.com/profile/terem-ead,126,Sofia,2191.1018,Terem EAD,Bulgaria,31060146,Business Products & Services,2
https://www.inc.com/profile/joint-stock-company-de-heus,127,"Sobinka,G Lakinsk",2181.2911,Joint Stock Company De Heus,Russian Federation,161908727,Agriculture & Natural Resources,1
https://www.inc.com/profile/money-man,128,Moscow,2180.7442,Money Man,Russian Federation,36279707,Financial Services,1
https://www.inc.com/profile/uab-htr1,129,Vilnius,2176.6297,UAB Htr1,Lithuania,5094824,Logistics & Transportation,1
https://www.inc.com/profile/ooo-rusled,130,Tomsk,2162.0392,OOO Rusled,Russian Federation,8649382,Manufacturing,1
https://www.inc.com/profile/indaver-uk-limited,131,Harlow,2157.4558,Indaver UK Limited,United Kingdom,7219592,Environmental Services,1
https://www.inc.com/profile/dinex-entreprenad-ab,132,Norsborg,2156.2217,Dinex Entreprenad AB,Sweden,5106326,Construction,1
https://www.inc.com/profile/radiotelevision-co-sa,133,Maroussi,2147.8278,Radiotelevision CO. S.A.,Greece,15134737,Media,1
https://www.inc.com/profile/mavis-realty,134,Saint-Petersburg,2142.7194,Mavis-Realty,Russian Federation,9145406,Real Estate,1
