 url, rank, city, company, country, growth, revenue, industry, yrs_on_list,Year
https://www.inc.com/profile/argo,46,Moscow,Argo,Russian Federation,3458.5307,20768475,Logistics & Transportation,1,2018
https://www.inc.com/profile/gears-of-leo-ab,47,Stockholm,Gears Of Leo AB,Sweden,3451.0138,11046991,Software,1,2018
https://www.inc.com/profile/yudzhin-tov,48,Kiev,Yudzhin TOV,Ukraine,3395.9084,16976306,Construction,1,2018
https://www.inc.com/profile/csi-lifecycle-services-italia-srl,49,Milan,CSI Lifecycle Services Italia S.R.L.,Italy,3338.5431,6917833,Business Products & Services,1,2018
https://www.inc.com/profile/id-finance,50,Barcelona,ID Finance,Spain,3317.6471,58100000,Financial Services,1,2018
https://www.inc.com/profile/yousician-oy,51,Helsinki,Yousician Oy,Finland,3275,10395000,Software,1,2018
https://www.inc.com/profile/artigiani-in-cucina-srl,52,Firenze,Artigiani In Cucina S.R.L.,Italy,3245.0234,8824406,Travel & Hospitality,1,2018
https://www.inc.com/profile/exentis-desarrollos-sociedad-limitada,53,Murcia,Exentis Desarrollos Sociedad Limitada.,Spain,3212.5148,6765679,Construction,1,2018
https://www.inc.com/profile/ecobloks---srl,54,Modena,Ecobloks - S.R.L.,Italy,3155.7004,16615630,Manufacturing,2,2018
https://www.inc.com/profile/sverek-ab,55,Stockholm,Sverek AB,Sweden,3138.7587,9680747,Human Resources,2,2018
https://www.inc.com/profile/fairview-homes-limited,56,Enfield,Fairview Homes Limited,United Kingdom,3063.7656,43181288,Construction,1,2018
https://www.inc.com/profile/next-geosolutions-europe-spa,57,Napoli,Next Geosolutions Europe S.P.A.,Italy,3044.7179,33457754,Engineering,1,2018
https://www.inc.com/profile/finint-mediatore-creditizio-spa,58,Conegliano,Finint Mediatore Creditizio S.P.A.,Italy,3041.1584,6472671,Financial Services,1,2018
https://www.inc.com/profile/intracto,59,Herentals,Intracto,Belgium,3010.6932,9953005,Software,1,2018
https://www.inc.com/profile/artel,60,Moscow,Artel,Russian Federation,2999.1319,19967924,Construction,1,2018
https://www.inc.com/profile/semetis,61,Bruxelles,Semetis,Belgium,2996.2907,8702125,Advertising & Marketing,1,2018
https://www.inc.com/profile/voronezh-akva,62,Voronezh,Voronezh-Akva,Russian Federation,2972.2305,47796472,Manufacturing,2,2018
https://www.inc.com/profile/progress-servis,63,Rp Tuchkovo,Progress-Servis,Russian Federation,2969.6819,10746680,Construction,2,2018
https://www.inc.com/profile/action-france,64,Paris,Action France,France,2947.5347,644209733,Retail,1,2018
